filename	type	venueID	venueShortname	venue	year	publisher	address
sridhar-causalml18.json	conference	causalml	CausalML	ICML Workshop on Machine Learning for Causal Inference, Counterfactual Prediction, and Autonomous Action	2018	CausalML	Stockholm, Sweden
pujara-comblearn11.json	conference	comblearn		ICML Workshop on Combining Learning Strategies to Reduce Label Cost	2011	CombLearn	Bellevue, WA, USA
bach-inferning13.json	conference	inferning	Inferning	ICML Workshop on Inferning Interactions between Inference and Learning	2013	Inferning	Atlanta, GA, USA
pujara-lttb13.json	conference	lttb		ICML Workshop on Learning with Test-Time Budgets	2013	BudgetedLearning	Atlanta, GA, USA
namata-mlg12.json	conference	mlg	MLG	International Workshop on Mining and Learning with Graphs	2012	MLG	Edinburgh, Scotland
licamele-sna06.json	conference	sna		ICML Workshop on Statistical Network Analysis	2006	Springer-Verlag	Pittsburgh, PA, USA
namata-sna06.json	conference	sna		ICML Workshop on Statistical Network Analysis	2006	Springer-Verlag	Pittsburgh, PA, USA
zhao-sna06.json	conference	sna		ICML Workshop on Statistical Network Analysis	2006	Springer-Verlag	Pittsburgh, PA, USA
bhattacharya-srl06.json	conference	srl	SRL	International Workshop on Statistical Relational Learning	2006	SRL	Pittsburgh, PA, USA
sen-srl06.json	conference	srl	SRL	International Workshop on Statistical Relational Learning	2006	SRL	Pittsburgh, PA, USA
pujara-slg13.json	conference	slg	SLG	ICML Workshop on Structured Learning: Inferring Graphs from Structured and Unstructured Inputs	2013	SLG	Atlanta, GA, USA
huang-slg13.json	conference	slg	SLG	ICML Workshop on Structured Learning: Inferring Graphs from Structured and Unstructured Inputs	2013	SLG	Atlanta, GA, USA
lu-cludmldm03.json	conference	cludmldm		ICML Workshop on The Continuum From Labeled to Unlabeled Data in Machine Learning and Data Mining	2003	Accenture	Washington, DC, USA
augustine-tpm19.json	conference	tpm	TPM	ICML Workshop on Tractable Probabilistic Modeling	2019	TPM	Long Beach, CA, USA
embar-tpm19.json	conference	tpm	TPM	ICML Workshop on Tractable Probabilistic Modeling	2019	TPM	Long Beach, CA, USA
memory-ursw12.json	conference	ursw	URSW	ICSW Workshop on Uncertainty Reasoning for the Semantic Web	2012	CEUR	Boston, MA, USA
tomkins-bod18.json	conference	bod		ICWSM Workshop on Beyond Online Data	2018	AAAI	Stanford, CA, USA
singh-iv07.json	conference	iv	IV	International Conference Information Visualization	2007	IEEE	Zürich, Switzerland
sharara-vast11.json	conference	vast	VAST	IEEE Conference on Visual Analytics Science and Technology	2011	IEEE	Providence, RI, USA
getoor-debu03.json	article	debu		IEEE Data Engineering Bulletin	2003	IEEE	
bhattacharya-debu06.json	article	debu		IEEE Data Engineering Bulletin	2006	IEEE	
getoor-debu06.json	article	debu		IEEE Data Engineering Bulletin	2006	IEEE	
singh-debu07.json	article	debu		IEEE Data Engineering Bulletin	2007	IEEE	
farnadi-debu19.json	article	debu		IEEE Data Engineering Bulletin	2019	IEEE	
miao-bigdata13.json	conference	bigdata	BigData	IEEE International Conference on Big Data	2013	IEEE	Santa Clara, CA, USA
hung-icde03.json	conference	icde	ICDE	IEEE International Conference on Data Engineering	2003	IEEE	Bangalore, India
bilgic-vast06.json	conference	vast	VAST	IEEE Conference on Visual Analytics Science and Technology	2006	IEEE	Baltimore, MD, USA
hwang-tkde12.json	article	tkde	TKDE	IEEE Transactions on Knowledge and Data Engineering	2012	IEEE	
panagiotis-tkde12.json	article	tkde	TKDE	IEEE Transactions on Knowledge and Data Engineering	2012	IEEE	
kimmig-tkde19.json	article	tkde	TKDE	IEEE Transactions on Knowledge and Data Engineering	2019	IEEE	
ramesh-tlt20.json	article	tlt	TLT	IEEE Transactions on Learning Technologies	2020	IEEE	
